Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV 1_280		Cond		Conc B		Injection		Run Log		Fraction		UV 1_280_CUT_TEMP@100,BASEM		UV 2_350	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU	ml	mAU
0.064633	0.857492	0.132048	87.114174	0.671461	0							0.067415	-2.921511	0.334293	-0.200501
0.065132	0.857153	0.133047	87.116447	0.676456	0							0.067914	-2.921235	0.33679	-0.202991
0.065632	0.856872	0.134046	87.119507	0.68145	0							0.068414	-2.920959	0.339287	-0.203756
0.066131	0.85659	0.135044	87.123238	0.686444	0							0.068913	-2.920683	0.341784	-0.202465
0.066631	0.856309	0.136043	87.127647	0.691439	0							0.069413	-2.920407	0.344281	-0.203219
0.06713	0.856061	0.137042	87.132866	0.696433	0							0.069912	-2.920131	0.346778	-0.202062
0.067629	0.856086	0.138041	87.138802	0.701428	0							0.070411	-2.919846	0.349274	-0.202505
0.068129	0.856436	0.139039	87.145401	0.706422	0							0.070911	-2.919561	0.351771	-0.201435
0.068628	0.856781	0.140038	87.152641	0.711416	0							0.07141	-2.919275	0.354268	-0.20255
0.069127	0.857126	0.141037	87.160393	0.716411	0							0.071909	-2.91899	0.356765	-0.204654
0.069627	0.85747	0.142035	87.168755	0.721405	0							0.072409	-2.918705	0.359262	-0.207767
0.070126	0.857804	0.143034	87.178055	0.7264	0							0.072908	-2.91842	0.361759	-0.209005
0.070625	0.858444	0.144033	87.188133	0.731394	0							0.073408	-2.918134	0.364256	-0.209549
0.071125	0.859137	0.145032	87.198509	0.736388	0							0.073907	-2.917849	0.366752	-0.210534
0.071624	0.859826	0.14603	87.209618	0.741383	0							0.074406	-2.917564	0.369249	-0.212307
0.072124	0.860522	0.147029	87.22171	0.746377	0							0.074906	-2.917279	0.371746	-0.214397
0.072623	0.86127	0.148028	87.234138	0.751372	0							0.075405	-2.917133	0.374243	-0.215935
0.073122	0.862379	0.149027	87.246971	0.756366	0							0.075904	-2.916987	0.37674	-0.219288
0.073622	0.863511	0.150025	87.2603	0.76136	0							0.076404	-2.916842	0.379237	-0.219017
0.074121	0.864641	0.151024	87.273941	0.766355	0							0.076903	-2.916697	0.381734	-0.219479
0.07462	0.865769	0.152023	87.288132	0.771349	0							0.077402	-2.916551	0.38423	-0.218159
0.07512	0.866889	0.153022	87.303207	0.776344	0							0.077902	-2.916405	0.386727	-0.218156
0.075619	0.867835	0.15402	87.31868	0.781338	0							0.078401	-2.91626	0.389224	-0.219842
0.076119	0.868063	0.155019	87.334328	0.786332	0							0.078901	-2.916115	0.391721	-0.22053
0.076618	0.868281	0.156018	87.350319	0.791327	0							0.0794	-2.915969	0.394218	-0.218954
0.077117	0.868498	0.157017	87.366737	0.796321	0							0.079899	-2.915823	0.396715	-0.21669
0.077617	0.868715	0.158015	87.383659	0.801315	0							0.080399	-2.915525	0.399212	-0.21544
0.078116	0.868941	0.159014	87.400925	0.80631	0							0.080898	-2.915226	0.401708	-0.213663
0.078615	0.869253	0.160013	87.418449	0.811304	0							0.081397	-2.914927	0.404205	-0.216116
0.079115	0.869703	0.161012	87.436111	0.816299	0							0.081897	-2.914628	0.406702	-0.218518
0.079614	0.870153	0.16201	87.454117	0.821293	0							0.082396	-2.914329	0.409199	-0.219111
0.080114	0.870593	0.163009	87.472435	0.826287	0							0.082896	-2.914031	0.411696	-0.218424
0.080613	0.871013	0.164008	87.490829	0.831282	0							0.083395	-2.913732	0.414193	-0.216503
0.081112	0.871452	0.165007	87.509644	0.836276	0							0.083894	-2.913433	0.416689	-0.215282
0.081612	0.872269	0.166005	87.528671	0.841271	0							0.084394	-2.913134	0.419186	-0.216715
0.082111	0.873322	0.167004	87.547569	0.846265	0							0.084893	-2.912835	0.421683	-0.218303
0.08261	0.874379	0.168003	87.566566	0.851259	0							0.085392	-2.912528	0.42418	-0.221486
0.08311	0.875432	0.169002	87.585602	0.856254	0							0.085892	-2.91222	0.426677	-0.220469
0.083609	0.876491	0.17	87.604767	0.861248	0							0.086391	-2.911912	0.429174	-0.218963
0.084108	0.877313	0.170999	87.624153	0.866243	0							0.086891	-2.911605	0.431671	-0.217289
0.084608	0.877217	0.171998	87.643814	0.871237	0							0.08739	-2.911297	0.434167	-0.215809
0.085107	0.877077	0.172996	87.663612	0.876231	0							0.087889	-2.91099	0.436664	-0.215437
0.085607	0.876938	0.173995	87.683014	0.881226	0							0.088389	-2.910682	0.439161	-0.217723
0.086106	0.876798	0.174994	87.702332	0.88622	0							0.088888	-2.910375	0.441658	-0.220179
0.086605	0.876658	0.175993	87.721848	0.891215	0							0.089387	-2.910067	0.444155	-0.21931
0.087105	0.876622	0.176991	87.740906	0.896209	0							0.089887	-2.90976	0.446652	-0.220262
0.087604	0.876696	0.17799	87.759705	0.901203	0							0.090386	-2.909443	0.449149	-0.218922
0.088103	0.87677	0.178989	87.778366	0.906198	0							0.090886	-2.909127	0.451645	-0.221595
0.088603	0.876845	0.179988	87.797073	0.911192	0							0.091385	-2.908812	0.454142	-0.222465
0.089102	0.87692	0.180986	87.815941	0.916187	0							0.091884	-2.908495	0.456639	-0.222287
0.089602	0.876994	0.181985	87.83477	0.921181	0							0.092384	-2.908179	0.459136	-0.223139
0.090101	0.877081	0.182984	87.853081	0.926175	0							0.092883	-2.907863	0.461633	-0.225644
0.0906	0.876839	0.183983	87.871201	0.93117	0							0.093382	-2.907547	0.46413	-0.225346
0.0911	0.876595	0.184981	87.88903	0.936164	0							0.093882	-2.907231	0.466627	-0.223951
0.091599	0.876355	0.18598	87.906448	0.941159	0							0.094381	-2.906915	0.469123	-0.223041
0.092098	0.876111	0.186979	87.923317	0.946153	0							0.09488	-2.906599	0.47162	-0.22408
0.092598	0.875843	0.187978	87.939972	0.951147	0							0.09538	-2.906439	0.474117	-0.226018
0.093097	0.875796	0.188976	87.956512	0.956142	0							0.095879	-2.906278	0.476614	-0.226761
0.093597	0.876113	0.189975	87.972832	0.961136	0							0.096379	-2.906118	0.479111	-0.227064
0.094096	0.876431	0.190974	87.989151	0.966131	0							0.096878	-2.905957	0.481608	-0.227866
0.094595	0.87675	0.191973	88.005379	0.971125	0							0.097377	-2.905797	0.484105	-0.229328
0.095095	0.877119	0.192971	88.021225	0.976119	0							0.097877	-2.905636	0.486601	-0.229863
0.095594	0.877706	0.19397	88.036774	0.981114	0							0.098376	-2.905476	0.489098	-0.230347
0.096093	0.878264	0.194969	88.051903	0.986108	0							0.098875	-2.905315	0.491595	-0.233082
0.096593	0.878821	0.195968	88.066406	0.991103	0							0.099375	-2.905155	0.494092	-0.236658
0.097092	0.879377	0.196966	88.08049	0.996097	0							0.099874	-2.904994	0.496589	-0.235849
0.097591	0.879932	0.197965	88.094643	1.001091	0							0.100374	-2.904666	0.499086	-0.234461
0.098091	0.879922	0.198964	88.108643	1.006086	0							0.100873	-2.904338	0.501583	-0.233993
0.09859	0.879724	0.199963	88.122108	1.01108	0							0.101372	-2.90401	0.504079	-0.234109
0.09909	0.879664	0.200961	88.135323	1.016074	0							0.101872	-2.903682	0.506576	-0.23432
0.099589	0.879604	0.20196	88.148369	1.021069	0							0.102371	-2.903353	0.509073	-0.233203
0.100088	0.879544	0.202959	88.161331	1.026063	0							0.10287	-2.903025	0.51157	-0.235255
0.100588	0.879561	0.203957	88.173683	1.031058	0							0.10337	-2.902697	0.514067	-0.235319
0.101087	0.880271	0.204956	88.186081	1.036052	0							0.103869	-2.902369	0.516564	-0.233417
0.101586	0.880981	0.205955	88.198074	1.041046	0							0.104369	-2.902041	0.519061	-0.232653
0.102086	0.881685	0.206954	88.209473	1.046041	0							0.104868	-2.901712	0.521557	-0.234126
0.102585	0.882392	0.207952	88.220306	1.051035	0							0.105367	-2.901376	0.524054	-0.235783
0.103085	0.883104	0.208951	88.230705	1.05603	0							0.105867	-2.901041	0.526551	-0.236716
0.103584	0.883697	0.20995	88.240929	1.061024	0							0.106366	-2.900704	0.529048	-0.237165
0.104083	0.884017	0.210949	88.250748	1.066018	0							0.106865	-2.900368	0.531545	-0.23618
0.104583	0.884338	0.211947	88.260513	1.071013	0							0.107365	-2.900033	0.534042	-0.237975
0.105082	0.884658	0.212946	88.26973	1.076007	0							0.107864	-2.899697	0.536538	-0.23695
0.105581	0.884977	0.213945	88.278473	1.081002	0							0.108363	-2.899361	0.539035	-0.238785
